,Soc. Security,Health and Medicare,Income Security,Net Interest,Veterans Benefits,Other,Total,Soc. Security_prev,Health and Medicare_prev,Income Security_prev,Net Interest_prev,Veterans Benefits_prev,Other_prev,Total_prev,year,start_frame,stop_frame
1962,78.5,0.6,48.5,38.6,23.5,2.1999999999999997,191.89999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962.0,0.0,60.0
1963,85.4,0.9,47.8,42.9,22.4,0.0,193.30000000000004,78.5,0.6,48.5,38.6,23.5,2.1999999999999997,191.89999999999998,1963.0,60.0,120.0
1964,88.5,1.2,49.1,44.9,22.6,7.0,213.3,85.4,0.9,47.8,42.9,22.4,0.0,193.30000000000004,1964.0,120.0,180.0
1965,91.7,1.6,47.8,46.2,22.3,7.4,217.00000000000003,88.5,1.2,49.1,44.9,22.6,7.0,213.3,1965.0,180.0,240.0
1966,106.9,4.3,47.9,49.4,22.7,2.9,234.1,91.7,1.6,47.8,46.2,22.3,7.4,217.00000000000003,1966.0,240.0,300.0
1967,109.4,18.299999999999997,49.4,52.5,25.9,6.7,262.2,106.9,4.3,47.9,49.4,22.7,2.9,234.1,1967.0,300.0,360.0
1968,116.1,30.4,55.4,54.8,26.1,19.9,302.7,109.4,18.299999999999997,49.4,52.5,25.9,6.7,262.2,1968.0,360.0,420.0
1969,127.7,36.1,58.6,60.0,27.4,8.1,317.9,116.1,30.4,55.4,54.8,26.1,19.9,302.7,1969.0,420.0,480.0
1970,135.3,38.5,66.9,64.5,29.7,10.399999999999999,345.3,127.7,36.1,58.6,60.0,27.4,8.1,317.9,1970.0,480.0,540.0
1971,153.5,41.5,94.1,63.3,32.3,0.0,383.20000000000005,135.3,38.5,66.9,64.5,29.7,10.399999999999999,345.3,1971.0,540.0,600.0
1972,165.6,48.7,108.6,63.0,33.4,14.5,433.79999999999995,153.5,41.5,94.1,63.3,32.3,0.0,383.20000000000005,1972.0,600.0,660.0
1973,195.4,49.8,104.8,67.7,36.1,26.2,480.0,165.6,48.7,108.6,63.0,33.4,14.5,433.79999999999995,1973.0,660.0,720.0
1974,206.4,55.5,115.8,78.2,37.4,4.999999999999999,498.29999999999995,195.4,49.8,104.8,67.7,36.1,26.2,480.0,1974.0,720.0,780.0
1975,216.2,64.9,158.6,76.8,42.1,44.1,602.7,206.4,55.5,115.8,78.2,37.4,4.999999999999999,498.29999999999995,1975.0,780.0,840.0
1976,232.1,76.0,178.7,82.6,44.2,15.100000000000001,628.7,216.2,64.9,158.6,76.8,42.1,44.1,602.7,1976.0,840.0,900.0
1977,248.6,85.2,164.8,86.2,37.8,9.8,632.4,232.1,76.0,178.7,82.6,44.2,15.100000000000001,628.7,1977.0,900.0,960.0
1978,257.2,91.2,152.9,95.8,36.2,39.6,672.9,248.6,85.2,164.8,86.2,37.8,9.8,632.4,1978.0,960.0,1020.0
1979,263.5,97.89999999999999,150.9,106.6,34.9,26.1,679.9,257.2,91.2,152.9,95.8,36.2,39.6,672.9,1979.0,1020.0,1080.0
1980,272.0,105.10000000000001,175.8,120.8,32.3,27.4,733.4,263.5,97.89999999999999,150.9,106.6,34.9,26.1,679.9,1980.0,1080.0,1140.0
1981,292.1,116.9,184.1,144.0,32.3,11.9,781.3,272.0,105.10000000000001,175.8,120.8,32.3,27.4,733.4,1981.0,1140.0,1200.0
1982,307.2,125.9,185.8,166.6,31.2,16.200000000000003,832.9000000000002,292.1,116.9,184.1,144.0,32.3,11.9,781.3,1982.0,1200.0,1260.0
1983,321.5,134.5,201.3,168.6,29.9,3.9000000000000004,859.6999999999999,307.2,125.9,185.8,166.6,31.2,16.200000000000003,832.9000000000002,1983.0,1260.0,1320.0
1984,323.4,140.7,173.4,201.5,29.1,0.0,853.7,321.5,134.5,201.3,168.6,29.9,3.9000000000000004,859.6999999999999,1984.0,1320.0,1380.0
1985,330.7,154.3,192.2,227.2,27.9,0.0,928.7,323.4,140.7,173.4,201.5,29.1,0.0,853.7,1985.0,1380.0,1440.0
1986,339.8,160.7,173.1,233.4,26.7,11.5,945.2,330.7,154.3,192.2,227.2,27.9,0.0,928.7,1986.0,1440.0,1500.0
1987,345.8,170.9,175.4,232.6,26.0,0.0,927.3000000000001,339.8,160.7,173.1,233.4,26.7,11.5,945.2,1987.0,1500.0,1560.0
1988,352.2,174.4,177.0,246.8,28.4,0.0,958.9000000000001,345.8,170.9,175.4,232.6,26.0,0.0,927.3000000000001,1988.0,1560.0,1620.0
1989,358.6,178.6,178.2,264.2,27.4,0.0,1005.3000000000001,352.2,174.4,177.0,246.8,28.4,0.0,958.9000000000001,1989.0,1620.0,1680.0
1990,368.8,202.0,185.2,278.2,23.6,72.3,1130.1,358.6,178.6,178.2,264.2,27.4,0.0,1005.3000000000001,1990.0,1680.0,1740.0
1991,384.2,221.3,209.3,283.4,24.9,17.0,1140.1,368.8,202.0,185.2,278.2,23.6,72.3,1130.1,1991.0,1740.0,1800.0
1992,400.3,259.79999999999995,238.8,283.6,26.3,0.0,1175.3,384.2,221.3,209.3,283.4,24.9,17.0,1140.1,1992.0,1800.0,1860.0
1993,413.2,281.2,243.1,276.1,27.0,0.0,1173.5,400.3,259.79999999999995,238.8,283.6,26.3,0.0,1175.3,1993.0,1860.0,1920.0
1994,424.5,302.6,242.0,275.9,27.8,0.0,1220.6,413.2,281.2,243.1,276.1,27.0,0.0,1173.5,1994.0,1920.0,1980.0
1995,437.1,325.7,241.4,309.1,26.7,0.0,1258.6,424.5,302.6,242.0,275.9,27.8,0.0,1220.6,1995.0,1980.0,2040.0
1996,446.2,342.7,246.3,315.1,24.8,0.0,1313.3000000000002,437.1,325.7,241.4,309.1,26.7,0.0,1258.6,1996.0,2040.0,2100.0
1997,456.7,361.6,246.2,313.4,25.8,0.0,1317.2,446.2,342.7,246.3,315.1,24.8,0.0,1313.3000000000002,1997.0,2100.0,2160.0
1998,469.9,368.1,245.3,305.9,29.0,0.0,1365.7999999999997,456.7,361.6,246.2,313.4,25.8,0.0,1317.2,1998.0,2160.0,2220.0
1999,478.0,370.4,249.7,287.9,29.2,0.0,1391.1000000000001,469.9,368.1,245.3,305.9,29.0,0.0,1365.7999999999997,1999.0,2220.0,2280.0
2000,489.9,382.5,255.7,273.7,31.5,0.0,1414.7,478.0,370.4,249.7,287.9,29.2,0.0,1391.1000000000001,2000.0,2280.0,2340.0
2001,506.8,415.0,266.2,247.1,26.4,0.0,1428.5,489.9,382.5,255.7,273.7,31.5,0.0,1414.7,2001.0,2340.0,2400.0
2002,527.3,447.5,308.5,201.7,31.1,0.0,1486.1999999999998,506.8,415.0,266.2,247.1,26.4,0.0,1428.5,2002.0,2400.0,2460.0
2003,538.0,480.5,323.4,177.2,35.7,0.0,1524.9,527.3,447.5,308.5,201.7,31.1,0.0,1486.1999999999998,2003.0,2460.0,2520.0
2004,550.2,511.3,314.3,181.0,34.8,0.0,1564.1999999999998,538.0,480.5,323.4,177.2,35.7,0.0,1524.9,2004.0,2520.0,2580.0
2005,564.9,537.9,317.5,201.5,43.1,0.0,1636.6,550.2,511.3,314.3,181.0,34.8,0.0,1564.1999999999998,2005.0,2580.0,2640.0
2006,574.9,555.9,315.1,240.4,39.5,5.899999999999999,1731.7000000000003,564.9,537.9,317.5,201.5,43.1,0.0,1636.6,2006.0,2640.0,2700.0
2007,601.9,605.4,320.5,244.8,38.8,0.0,1745.3,574.9,555.9,315.1,240.4,39.5,5.899999999999999,1731.7000000000003,2007.0,2700.0,2760.0
2008,612.1,611.8,373.1,255.7,43.4,0.0,1849.4,601.9,605.4,320.5,244.8,38.8,0.0,1745.3,2008.0,2760.0,2820.0
2009,677.7,702.8,469.7,186.9,48.6,194.29999999999998,2280.0000000000005,612.1,611.8,373.1,255.7,43.4,0.0,1849.4,2009.0,2820.0,2880.0
2010,689.5,738.0999999999999,543.8,194.5,56.5,0.0,2078.5999999999995,677.7,702.8,469.7,186.9,48.6,194.29999999999998,2280.0000000000005,2010.0,2880.0,2940.0
2011,698.5,761.6,507.2,223.4,67.9,0.0,2179.1,689.5,738.0999999999999,543.8,194.5,56.5,0.0,2078.5999999999995,2011.0,2940.0,3000.0
2012,724.5,710.6,449.2,210.3,63.8,0.0,2128.9,698.5,761.6,507.2,223.4,67.9,0.0,2179.1,2012.0,3000.0,3060.0
2013,751.3,736.9000000000001,439.5,207.2,74.4,0.0,2096.4,724.5,710.6,449.2,210.3,63.8,0.0,2128.9,2013.0,3060.0,3120.0
2014,774.0,786.2,411.7,211.0,79.2,0.0,2134.0,751.3,736.9000000000001,439.5,207.2,74.4,0.0,2096.4,2014.0,3120.0,3180.0
2015,803.9,881.7,404.3,203.2,84.0,0.0,2301.9,774.0,786.2,411.7,211.0,79.2,0.0,2134.0,2015.0,3180.0,3240.0
2016,822.5,943.8,404.9,216.1,95.9,0.0,2414.2999999999997,803.9,881.7,404.3,203.2,84.0,0.0,2301.9,2016.0,3240.0,3300.0
2017,832.0,943.7,386.4,232.3,92.7,0.0,2467.7999999999997,822.5,943.8,404.9,216.1,95.9,0.0,2414.2999999999997,2017.0,3300.0,3360.0
2018,854.8,960.6,372.3,270.4,87.4,0.0,2520.3000000000006,832.0,943.7,386.4,232.3,92.7,0.0,2467.7999999999997,2018.0,3360.0,3420.0
2019,889.6,983.5,370.5,311.4,99.0,0.0,2641.8,854.8,960.6,372.3,270.4,87.4,0.0,2520.3000000000006,2019.0,3420.0,3480.0
2020,922.4,1024.9,365.7,375.7,102.9,0.0,2745.2999999999997,889.6,983.5,370.5,311.4,99.0,0.0,2641.8,2020.0,3480.0,3540.0
2021,954.8,1024.3,367.0,421.0,105.5,0.0,2834.6,922.4,1024.9,365.7,375.7,102.9,0.0,2745.2999999999997,2021.0,3540.0,3600.0
2022,989.1,1087.3,377.4,459.1,115.9,0.0,2995.5,954.8,1024.3,367.0,421.0,105.5,0.0,2834.6,2022.0,3600.0,3660.0
2023,1024.6,1097.4,371.3,490.4,111.5,0.0,3059.9,989.1,1087.3,377.4,459.1,115.9,0.0,2995.5,2023.0,3660.0,3720.0
